1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,0,,,,,,,,
williams,absolutely,nails,sy,'s,queasy,infatuation,and,overall,strangeness,.,0,1,wrong,,,,,,,,,,,,,,,,,,,
0,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
a,thriller,with,an,edge,--,which,is,to,say,that,it,does,n't,follow,the,stale,",",standard,",",connect-the-dots,storyline,which,has,become,commonplace,in,movies,that,explore,0,1,wrong
0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
although,tender,and,touching,",",the,movie,would,have,benefited,from,a,little,more,dramatic,tension,and,some,more,editing,.,0,1,wrong,,,,,,,,,
1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
if,you,'re,over,25,",",have,an,iq,over,90,",",and,have,a,driver,'s,license,",",you,should,be,able,to,find,better,entertainment,.,0,0,correct,,
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,,,,,
mariah,carey,gives,us,another,peek,at,some,of,the,magic,we,saw,in,glitter,here,in,wisegirls,.,1,0,wrong,,,,,,,,,,,
0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
an,awkwardly,contrived,exercise,in,magic,realism,.,0,0,correct,,,,,,,,,,,,,,,,,,,,,,
1,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
the,overall,effect,is,awe,and,affection,--,and,a,strange,urge,to,get,on,a,board,and,",",uh,",",shred,",",dude,.,1,1,correct,,,,,
1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
shame,on,writer/director,vicente,aranda,for,making,a,florid,biopic,about,mad,queens,",",obsessive,relationships,",",and,rampant,adultery,so,dull,.,0,0,correct,,,,,,,
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,,,,,,,
reggio,and,glass,so,rhapsodize,cynicism,",",with,repetition,and,languorous,slo-mo,sequences,",",that,glass,'s,dirgelike,score,becomes,a,fang-baring,lullaby,.,0,0,correct,,,,,,
0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,,,,,,,,,
it,'s,splash,without,the,jokes,.,0,0,correct,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
every,bit,as,bogus,as,most,disney,live,action,family,movies,are,--,no,real,plot,",",no,real,conflict,",",no,real,point,.,0,0,correct,,,,,
1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,,,,,,,,
it,'s,a,brave,attempt,to,tap,into,the,heartbeat,of,the,world,",",a,salute,to,the,universal,language,of,rhythm,and,a,zippy,sampling,of,sounds,.,1,1,correct,
1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,,,,
.,.,.,blade,ii,is,still,top-heavy,with,blazing,guns,",",cheatfully,filmed,martial,arts,",",disintegrating,bloodsucker,computer,effects,and,jagged,camera,moves,that,serve,no,other,purpose,0,0,correct
0,0,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
you,will,emerge,with,a,clearer,view,of,how,the,gears,of,justice,grind,on,and,the,death,report,comes,to,share,airtime,alongside,the,farm,report,.,1,1,correct,,
1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,,,,,
[,director,],byler,may,yet,have,a,great,movie,in,him,",",but,charlotte,sometimes,is,only,half,of,one,.,0,0,correct,,,,,,,,
0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,,,,,,,,,,,
a,canny,",",derivative,",",wildly,gruesome,portrait,of,a,london,sociopath,who,'s,the,scariest,of,sadists,.,1,1,correct,,,,,,,,,,,
0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
it,'s,a,compelling,and,horrifying,story,",",and,the,laramie,project,is,worthwhile,for,reminding,us,that,this,sort,of,thing,does,",",in,fact,",",still,happen,in,1,1,correct
1,1,0,1,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,
while,this,has,the,making,of,melodrama,",",the,filmmaker,cuts,against,this,natural,grain,",",producing,a,work,that,'s,more,interested,in,asking,questions,than,in,answering,them,1,1,correct
0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,,,
an,overstuffed,compendium,of,teen-catholic-movie,dogma,.,0,0,correct,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
too,lazy,to,take,advantage,of,its,semi-humorous,premise,.,0,0,correct,,,,,,,,,,,,,,,,,,,,
1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
impeccably,filmed,",",sexually,charged,",",but,ultimately,lacking,in,substance,",",not,to,mention,dragged,down,by,a,leaden,closing,act,.,0,0,correct,,,,,,,
1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,,,,,,,,,,
begins,as,a,promising,meditation,on,one,of,america,'s,most,durable,obsessions,but,winds,up,as,a,slender,cinematic,stunt,.,0,0,correct,,,,,,,,
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,,,,,,,,,,,
on,its,icy,face,",",the,new,film,is,a,subzero,version,of,monsters,",",inc,.,",",without,the,latter,'s,imagination,",",visual,charm,or,texture,.,0,0,correct,
0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,
plays,like,the,old,disease-of-the-week,small-screen,melodramas,.,0,0,correct,,,,,,,,,,,,,,,,,,,,,,
0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
statham,employs,an,accent,that,i,think,is,supposed,to,be,an,attempt,at,hardass,american,but,sometimes,just,lapses,into,unhidden,british,.,0,0,correct,,,,,,
0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,,,,,,,,,
it,'s,a,minor,comedy,that,tries,to,balance,sweetness,with,coarseness,",",while,it,paints,a,sad,picture,of,the,singles,scene,.,1,1,correct,,,,,,
0,1,1,1,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,,,,,,,,,
i,had,more,fun,watching,spy,than,i,had,with,most,of,the,big,summer,movies,.,0,1,wrong,,,,,,,,,,,,,
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
while,the,stoically,delivered,hokum,of,hart,'s,war,is,never,fun,",",it,'s,still,a,worthy,addition,to,the,growing,canon,of,post-saving,private,ryan,tributes,to,the,1,1,correct
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,
the,chocolate,factory,without,charlie,.,0,0,correct,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
an,83,minute,document,of,a,project,which,started,in,a,muddle,",",seesawed,back,and,forth,between,controlling,interests,multiple,times,",",then,found,its,sweet,spot,0,1,wrong,,
1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,
an,intelligently,made,(,and,beautifully,edited,),picture,that,at,the,very,least,has,a,spark,of,life,to,it,--,more,than,you,can,say,for,plenty,of,1,1,correct
1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,,
characters,wander,into,predictably,treacherous,situations,even,though,they,should,know,better,.,0,0,correct,,,,,,,,,,,,,,,,,
0,0,0,1,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
girlfriends,are,bad,",",wives,are,worse,and,babies,are,the,kiss,of,death,in,this,bitter,italian,comedy,.,0,0,correct,,,,,,,,,,
0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,,,,,,,,,,,,,
a,mild,",",reluctant,",",thumbs,down,.,0,0,correct,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
so,few,movies,explore,religion,that,it,'s,disappointing,to,see,one,reduce,it,to,an,idea,that,fits,in,a,sampler,.,0,0,correct,,,,,,,
1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,,,,,,,,,,
entertaining,enough,",",but,nothing,new,1,0,wrong,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
it,rapidly,develops,into,a,gut-wrenching,examination,of,the,way,cultural,differences,and,emotional,expectations,collide,.,1,1,correct,,,,,,,,,,,,,
1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
it,pulls,the,rug,out,from,under,you,",",just,when,you,'re,ready,to,hate,one,character,",",or,really,sympathize,with,another,character,",",something,happens,to,send,0,1,wrong
1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,,,
more,than,anything,else,",",kissing,jessica,stein,injects,freshness,and,spirit,into,the,romantic,comedy,genre,",",which,has,been,held,hostage,by,generic,scripts,that,seek,to,remake,0,1,wrong
1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,,,
spousal,abuse,is,a,major,problem,in,contemporary,society,",",but,the,film,reduces,this,domestic,tragedy,to,florid,melodrama,.,0,0,correct,,,,,,,,,
0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,,,,,,,,,,,,
we,never,truly,come,to,care,about,the,main,characters,and,whether,or,not,they,'ll,wind,up,together,",",and,michele,'s,spiritual,quest,is,neither,amusing,nor,dramatic,0,0,correct
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,,,
the,movie,has,an,avalanche,of,eye-popping,visual,effects,.,1,1,correct,,,,,,,,,,,,,,,,,,,,
0,0,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
rarely,has,leukemia,looked,so,shimmering,and,benign,.,0,0,correct,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,
none,of,his,actors,stand,out,",",but,that,'s,less,of,a,problem,here,than,it,would,be,in,another,film,:,characterization,matters,less,than,atmosphere,.,0,1,wrong,
0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,,,,
it,wo,n't,hold,up,over,the,long,haul,",",but,in,the,moment,",",finch,'s,tale,provides,the,forgettable,pleasures,of,a,saturday,matinee,.,1,1,correct,,,
0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,,,,,,
'aunque,recurre,a,ciertos,clichés,del,género,",",la,poderosa,actuación,de,robin,williams,perdona,las,fallas,del,guión,.,',0,1,wrong,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
foster,and,whitaker,are,especially,fine,.,she,is,a,lioness,",",protecting,her,cub,",",and,he,a,reluctant,villain,",",incapable,of,controlling,his,crew,.,0,1,wrong,,
0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,,,,,
while,the,story,is,better-focused,than,the,incomprehensible,anne,rice,novel,it,'s,based,upon,",",queen,of,the,damned,is,a,pointless,",",meandering,celebration,of,the,goth-vampire,",",0,0,correct
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,,,
the,kind,of,trifle,that,date,nights,were,invented,for,.,0,1,wrong,,,,,,,,,,,,,,,,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
smart,",",funny,and,just,honest,enough,to,provide,the,pleasures,of,a,slightly,naughty,",",just-above-average,off-,broadway,play,.,1,1,correct,,,,,,,,,
1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
if,you,'re,the,kind,of,parent,who,enjoys,intentionally,introducing,your,kids,to,films,which,will,cause,loads,of,irreparable,damage,that,years,and,years,of,costly,analysis,could,0,1,wrong
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,,,
maybe,it,'s,the,star,power,of,the,cast,or,the,redundant,messages,",",but,something,aboul,``,full,frontal,``,seems,",",well,",",contrived,.,0,0,correct,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,,,,,,
here,",",common,sense,flies,out,the,window,",",along,with,the,hail,of,bullets,",",none,of,which,ever,seem,to,hit,sascha,.,0,0,correct,,,,,
0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
trailer,trash,cinema,so,uncool,the,only,thing,missing,is,the,``,gadzooks,!,``,0,0,correct,,,,,,,,,,,,,,,
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
insufferably,naive,.,0,0,correct,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hey,",",at,least,the,title,of,this,film,lets,you,know,exactly,where,it,'s,heading,.,1,0,wrong,,,,,,,,,,,,
1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,,,,,,,,,,,,,,,
the,movie,does,n't,generate,a,lot,of,energy,.,it,is,dark,",",brooding,and,slow,",",and,takes,its,central,idea,way,too,seriously,.,0,0,correct,,,
1,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,,,,,,
visits,spy-movie,territory,like,a,novel,you,ca,n't,put,down,",",examines,a,footnote,to,history,seldom,brought,to,light,on,the,screen,",",and,keeps,you,guessing,from,1,1,correct
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,,,
'opening,up,',the,play,more,has,partly,closed,it,down,.,0,0,correct,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
though,in,some,ways,similar,to,catherine,breillat,'s,fat,girl,",",rain,is,the,far,superior,film,.,1,1,correct,,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,,,,,,,,,,,,,,
to,imagine,the,life,of,harry,potter,as,a,martial,arts,adventure,told,by,a,lobotomized,woody,allen,is,to,have,some,idea,of,the,fate,that,lies,in,store,0,0,correct
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,,,
although,no,pastry,is,violated,",",this,nasty,comedy,pokes,fun,at,the,same,easy,targets,as,other,rowdy,raunch-fests,--,farts,",",boobs,",",unmentionables,--,without,much,success,0,0,correct
1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,
insanely,hilarious,!,i,have,n't,laughed,that,hard,in,years,!,1,1,correct,,,,,,,,,,,,,,,,,,
1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
sum,``,is,jack,ryan,'s,``,do-over,.,``,give,credit,to,everyone,from,robinson,down,to,the,key,grip,that,this,bold,move,works,.,especially,give,credit,1,1,correct
0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,,,
like,a,fish,that,'s,lived,too,long,",",austin,powers,in,goldmember,has,some,unnecessary,parts,and,is,kinda,wrong,in,places,.,0,0,correct,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,,,,,,,,,
the,emotional,overload,of,female,angst,irreparably,drags,the,film,down,.,0,0,correct,,,,,,,,,,,,,,,,,,
1,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
upsetting,and,thought-provoking,",",the,film,has,an,odd,purity,that,does,n't,bring,you,into,the,characters,so,much,as,it,has,you,study,them,.,1,1,correct,,,
0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,,,,,,
the,hours,",",a,delicately,crafted,film,",",is,an,impressive,achievement,in,spite,of,a,river,of,sadness,that,pours,into,every,frame,.,1,1,correct,,,,,
0,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,,,,,,,,
that,frenetic,spectacle,[,on,the,tv,show,],has,usually,been,leavened,by,a,charm,that,'s,conspicuously,missing,from,the,girls,',big-screen,blowout,.,0,0,correct,,,
1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,,,,,,
so,many,documentaries,like,this,presuppose,religious,bigotry,or,zealous,nuttiness,of,its,antagonists,",",but,family,fundamentals,displays,a,rare,gift,for,unflinching,impartiality,.,1,1,correct,,,,
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,,,,,,,
birthday,girl,is,an,amusing,joy,ride,",",with,some,surprisingly,violent,moments,.,1,1,correct,,,,,,,,,,,,,,,,
0,0,0,1,1,1,0,0,0,1,1,1,0,0,,,,,,,,,,,,,,,,,,,
generally,",",clockstoppers,will,fulfill,your,wildest,fantasies,about,being,a,different,kind,of,time,traveler,",",while,happily,killing,94,minutes,.,0,1,wrong,,,,,,,
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,,,,,,,,,,
the,result,is,an,'action,film,',mired,in,stasis,.,0,0,correct,,,,,,,,,,,,,,,,,,,
1,1,1,1,0,0,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,
a,non-britney,person,might,survive,a,screening,with,little,harm,done,",",except,maybe,for,the,last,15,minutes,",",which,are,as,maudlin,as,any,after-school,special,you,can,0,0,correct
0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,
so,fiendishly,cunning,that,even,the,most,jaded,cinema,audiences,will,leave,the,auditorium,feeling,dizzy,",",confused,",",and,totally,disorientated,.,not,to,mention,absolutely,refreshed,.,0,1,wrong,
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,,,,
made,me,unintentionally,famous,,as,the,queasy-stomached,critic,who,staggered,from,the,theater,and,blacked,out,in,the,lobby,.,but,believe,it,or,not,",",it,'s,one,0,1,wrong
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,,,
it,'s,as,if,de,palma,spent,an,hour,setting,a,fancy,table,and,then,served,up,kraft,macaroni,and,cheese,.,0,0,correct,,,,,,,,
1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,
.,.,.,rogers,'s,mouth,never,stops,shut,about,the,war,between,the,sexes,and,how,to,win,the,battle,.,0,1,wrong,,,,,,,,
0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
i,hate,the,feeling,of,having,been,slimed,in,the,name,of,high,art,.,0,0,correct,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
the,truth,about,charlie,is,that,it,'s,a,brazenly,misguided,project,.,0,0,correct,,,,,,,,,,,,,,,,,
1,1,0,0,0,1,1,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
the,problematic,characters,and,overly,convenient,plot,twists,foul,up,shum,'s,good,intentions,.,0,0,correct,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
yes,they,can,swim,",",the,title,is,merely,anne-sophie,birot,'s,off-handed,way,of,saying,girls,find,adolescence,difficult,to,wade,through,.,0,0,correct,,,,,,
1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,
just,offbeat,enough,to,keep,you,interested,without,coming,close,to,bowling,you,over,.,1,1,correct,,,,,,,,,,,,,,,
1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
the,movie,is,for,fans,who,ca,n't,stop,loving,anime,",",and,the,fanatical,excess,built,into,it,.,0,1,wrong,,,,,,,,,,
1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,,,,,,,,,,,,,
love,liza,is,a,festival,film,that,would,have,been,better,off,staying,on,the,festival,circuit,.,1,0,wrong,,,,,,,,,,,,
0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
a,compelling,portrait,of,moral,emptiness,1,1,correct,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
too,much,of,storytelling,moves,away,from,solondz,'s,social,critique,",",casting,its,audience,as,that,of,intellectual,lector,in,contemplation,of,the,auteur,'s,professional,injuries,.,0,1,wrong,
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,
the,disjointed,mess,flows,as,naturally,as,jolie,'s,hideous,yellow,'do,.,0,0,correct,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
a,compelling,",",gut-clutching,piece,of,advocacy,cinema,that,carries,you,along,in,a,torrent,of,emotion,as,it,explores,the,awful,complications,of,one,terrifying,day,.,1,1,correct,,
1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,,,,,
jacobi,",",the,most,fluent,of,actors,",",is,given,relatively,dry,material,from,nijinsky,'s,writings,to,perform,",",and,the,visuals,",",even,erotically,frank,ones,",",become,1,0,wrong
0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,,,
it,'s,exactly,the,kind,of,movie,toback,'s,detractors,always,accuse,him,of,making,.,0,0,correct,,,,,,,,,,,,,,
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
exactly,what,you,'d,expect,from,a,guy,named,kaos,.,0,0,correct,,,,,,,,,,,,,,,,,,,
1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
does,anyone,much,think,the,central,story,of,brendan,behan,is,that,he,was,a,bisexual,sweetheart,before,he,took,to,drink,?,0,0,correct,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
.,.,.,if,you,'re,just,in,the,mood,for,a,fun,--,but,bad,--,movie,",",you,might,want,to,catch,freaks,as,a,matinee,.,0,0,correct,
0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,
the,wonderfully,lush,morvern,callar,is,pure,punk,existentialism,",",and,ms,.,ramsay,and,her,co-writer,",",liana,dognini,",",have,dramatized,the,alan,warner,novel,",",which,itself,1,1,correct
0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,,,
schindler,'s,list,it,ai,n't,.,0,0,correct,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
fear,dot,com,is,so,rambling,and,disconnected,it,never,builds,any,suspense,.,0,0,correct,,,,,,,,,,,,,,,,
1,1,0,0,1,1,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,
all,in,all,",",an,interesting,look,at,the,life,of,the,campaign-trail,press,",",especially,ones,that,do,n't,really,care,for,the,candidate,they,'re,forced,to,follow,1,1,correct
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
melds,derivative,elements,into,something,that,is,often,quite,rich,and,exciting,",",and,always,a,beauty,to,behold,.,1,1,correct,,,,,,,,,,
1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,,,,,,,,,,,,,
it,is,that,rare,combination,of,bad,writing,",",bad,direction,and,bad,acting,--,the,trifecta,of,badness,.,0,0,correct,,,,,,,,,,
1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,,,,,,,,,,,,,
presents,an,astute,appraisal,of,middle,american,musical,torpor,and,the,desperate,struggle,to,escape,it,.,1,1,correct,,,,,,,,,,,,,
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
feels,aimless,for,much,of,its,running,time,",",until,late,in,the,film,when,a,tidal,wave,of,plot,arrives,",",leaving,questions,in,its,wake,.,0,0,correct,,
1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,,,,,
sometimes,this,'blood,',seems,as,tired,as,its,protagonist,.,.,.,still,",",the,pulse,never,disappears,entirely,",",and,the,picture,crosses,the,finish,line,winded,but,0,1,wrong
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,,,
it,'s,tommy,'s,job,to,clean,the,peep,booths,surrounding,her,",",and,after,viewing,this,one,",",you,'ll,feel,like,mopping,up,",",too,.,1,0,wrong,,
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,,,,,
a,big,",",loud,",",bang-the-drum,bore,.,1,0,wrong,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
though,the,book,runs,only,about,300,pages,",",it,is,so,densely,packed,.,.,.,that,even,an,ambitious,adaptation,and,elaborate,production,like,mr,.,schepisi,'s,1,0,wrong
1,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,,,
its,generic,villains,lack,any,intrigue,(,other,than,their,funny,accents,),and,the,action,scenes,are,poorly,delivered,.,0,0,correct,,,,,,,,,
0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,,,,,,,,,,,,
one,of,the,worst,movies,of,the,year,.,.,.,.,watching,it,was,painful,.,0,0,correct,,,,,,,,,,,,,
1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,,,,,,,,,,,,,,,,
harris,is,supposed,to,be,the,star,of,the,story,",",but,comes,across,as,pretty,dull,and,wooden,.,0,0,correct,,,,,,,,,,
0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,
while,most,films,these,days,are,about,nothing,",",this,film,seems,to,be,about,everything,that,'s,plaguing,the,human,spirit,in,a,relentlessly,globalizing,world,.,1,1,correct,,
